ds,SPY_Close,SPY_Volume,month,day,Actual_GDP,Actual_nonfarm,Actual_CPI,Actual_PPI,Actual_unemployment rate,Actual_core_PCE,Actual_FOMC,CPI_vs_forecast,CPI_vs_previous,GDP_vs_forecast,GDP_vs_previous,PPI_vs_forecast,PPI_vs_previous,nonfarm_vs_forecast,nonfarm_vs_previous,unemployment rate_vs_forecast,unemployment rate_vs_previous,core_PCE_vs_forecast,core_PCE_vs_previous,FOMC_vs_forecast,FOMC_vs_previous,is_event,days_since_fomc
2024-08-12,528.2669067382812,42542100,8,12,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,8.0
2024-08-13,536.95458984375,52333100,8,13,none event,none event,none event,0.022,none event,none event,none event,,,,,-1.0,-1.0,,,,,,,,,1,9.0
2024-08-14,538.6485595703125,42446900,8,14,none event,none event,0.029,none event,none event,none event,none event,-1.0,-1.0,,,,,,,,,,,,,1,10.0
2024-08-15,547.881103515625,60846800,8,15,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,11.0
2024-08-16,549.1094360351562,44430700,8,16,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,12.0
2024-08-19,554.3597412109375,39121800,8,19,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,13.0
2024-08-20,553.4583129882812,33732300,8,20,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,14.0
2024-08-21,555.3602905273438,41514600,8,21,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,15.0
2024-08-22,551.0015258789062,56121500,8,22,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,16.0
2024-08-23,556.8560791015625,50639400,8,23,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,17.0
2024-08-26,555.5286254882812,35788600,8,26,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,18.0
2024-08-27,556.2914428710938,32693900,8,27,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,19.0
2024-08-28,553.0620727539062,41066000,8,28,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,20.0
2024-08-29,553.1115112304688,38715200,8,29,0.03,none event,none event,none event,none event,none event,none event,,,1.0,1.0,,,,,,,,,,,1,21.0
2024-08-30,558.3916015625,62700100,8,30,none event,none event,none event,none event,none event,0.026,none event,,,,,,,,,,,-1.0,0.0,,,1,22.0
2024-09-03,546.900390625,60600100,9,3,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,23.0
2024-09-04,545.781005859375,47224900,9,4,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,24.0
2024-09-05,544.4535522460938,44264300,9,5,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,25.0
2024-09-06,535.290283203125,68493800,9,6,none event,142K,none event,none event,0.042,none event,none event,,,,,,,-1.0,1.0,0.0,-1.0,,,,,1,26.0
2024-09-09,541.2835693359375,40445800,9,9,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,27.0
2024-09-10,543.6412353515625,36394600,9,10,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,28.0
2024-09-11,549.2184448242188,75248600,9,11,none event,none event,0.025,none event,none event,none event,none event,0.0,-1.0,,,,,,,,,,,,,1,29.0
2024-09-12,553.8446044921875,51892700,9,12,none event,none event,none event,0.017,none event,none event,none event,,,,,-1.0,-1.0,,,,,,,,,1,30.0
2024-09-13,556.7372436523438,39310500,9,13,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,31.0
2024-09-16,557.5595092773438,36656100,9,16,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,32.0
2024-09-17,557.7872314453125,49321000,9,17,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,33.0
2024-09-18,556.1329956054688,59044900,9,18,none event,none event,none event,none event,none event,none event,0.05,,,,,,,,,,,,,-1.0,-1.0,1,0.0
2024-09-19,565.623046875,75315500,9,19,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,1.0
2024-09-20,564.6453247070312,77503100,9,20,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,2.0
2024-09-23,566.0562744140625,44116900,9,23,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,3.0
2024-09-24,567.6759643554688,46805700,9,24,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,4.0
2024-09-25,566.4239501953125,38428600,9,25,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,5.0
2024-09-26,568.6696166992188,48336000,9,26,0.03,none event,none event,none event,none event,none event,none event,,,0.0,1.0,,,,,,,,,,,1,6.0
2024-09-27,567.8448486328125,42100900,9,27,none event,none event,none event,none event,none event,0.027,none event,,,,,,,,,,,0.0,1.0,,,1,7.0
2024-09-30,570.120361328125,63557400,9,30,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,8.0
2024-10-01,565.0130004882812,72668800,10,1,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,9.0
2024-10-02,565.2514038085938,38097800,10,2,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,10.0
2024-10-03,564.218017578125,40846500,10,3,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,11.0
2024-10-04,569.3453369140625,42939100,10,4,none event,254K,none event,none event,0.041,none event,none event,,,,,,,1.0,1.0,-1.0,-1.0,,,,,1,12.0
2024-10-07,564.1981201171875,49964700,10,7,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,13.0
2024-10-08,569.5340576171875,37398700,10,8,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,14.0
2024-10-09,573.4789428710938,37912200,10,9,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,15.0
2024-10-10,572.475341796875,44138100,10,10,none event,none event,0.024,none event,none event,none event,none event,1.0,-1.0,,,,,,,,,,,,,1,16.0
2024-10-11,575.9034423828125,42268000,10,11,none event,none event,none event,0.018,none event,none event,none event,,,,,1.0,-1.0,,,,,,,,,1,17.0
2024-10-14,580.6133422851562,36217200,10,14,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,18.0
