,Predicted_LSTM,Predicted_GRU,Actual
177,5332.4136,5343.578,5267.83984375
178,5279.051,5286.066,5304.72021484375
179,5306.163,5329.5127,5306.0400390625
180,5321.9204,5317.931,5266.9501953125
181,5293.6045,5286.083,5235.47998046875
182,5255.255,5253.1167,5277.509765625
183,5237.383,5284.8076,5283.39990234375
184,5268.0537,5256.0356,5291.33984375
185,5298.4243,5297.3804,5354.02978515625
186,5321.389,5357.627,5352.9599609375
187,5315.222,5353.7363,5346.990234375
188,5311.47,5353.401,5360.7900390625
189,5350.7905,5341.949,5375.31982421875
190,5375.172,5379.587,5421.02978515625
191,5402.7827,5439.2905,5433.740234375
192,5425.8486,5494.1323,5431.60009765625
193,5402.911,5463.067,5473.22998046875
194,5429.416,5442.3066,5487.02978515625
195,5476.0015,5510.9946,5473.169921875
196,5470.1816,5528.6353,5464.6201171875
197,5445.7974,5502.2686,5447.8701171875
198,5476.7866,5443.413,5469.2998046875
199,5505.942,5496.407,5477.89990234375
200,5514.173,5521.671,5482.8701171875
201,5516.768,5547.8667,5460.47998046875
202,5433.97,5482.076,5475.08984375
203,5500.871,5457.7783,5509.009765625
204,5516.7993,5514.293,5537.02001953125
205,5541.507,5565.6562,5567.18994140625
206,5537.016,5624.821,5572.85009765625
207,5570.742,5593.9604,5576.97998046875
208,5596.983,5631.4253,5633.91015625
209,5618.6304,5691.041,5584.5400390625
210,5548.7188,5599.179,5615.35009765625
211,5569.5464,5635.657,5631.22021484375
212,5607.336,5615.303,5667.2001953125
213,5643.574,5679.269,5588.27001953125
214,5596.8945,5614.8506,5544.58984375
215,5530.7217,5567.259,5505.0
216,5476.387,5532.7603,5564.41015625
217,5542.674,5565.9785,5555.740234375
218,5549.508,5571.5347,5427.1298828125
219,5454.1787,5477.772,5399.22021484375
220,5366.7373,5416.5483,5459.10009765625
221,5409.7,5495.006,5463.5400390625
222,5452.5303,5488.601,5436.43994140625
223,5418.443,5446.006,5522.2998046875
224,5459.9478,5513.8506,5446.68017578125
225,5387.2715,5442.8657,5346.56005859375
226,5312.7715,5360.144,5186.330078125
227,5182.035,5225.8706,5240.02978515625
228,5182.9736,5296.7524,5199.5
229,5149.133,5269.3623,5319.31005859375
230,5227.386,5346.743,5344.16015625
231,5273.2393,5383.617,5344.39013671875
232,5316.7,5377.8003,5434.43017578125
233,5358.103,5457.108,5455.2099609375
234,5417.7266,5505.4043,5543.22021484375
235,5462.4165,5571.0825,5554.25
236,5491.695,5613.465,5608.25
237,5541.245,5602.5747,5597.1201171875
238,5509.666,5541.596,5620.85009765625
239,5567.9214,5600.0166,5570.64013671875
240,5538.9507,5582.9756,5634.60986328125
