,Actual,predicted
1944,316.9325697054372,305.6128958162744
1945,318.27527120168173,306.7129858097833
1946,315.3076384874139,302.7852530336101
1947,315.35127419595074,302.13264341203416
1948,314.82103830871785,300.3830171568698
1949,317.6450615372263,302.8376086329182
1950,314.60010893644727,299.35292607231014
1951,317.6483787140804,300.74322884661854
1952,319.9079424990313,301.9079311634584
1953,319.2456937605699,301.5851878172016
1954,321.17772004231944,304.2465065838994
1955,323.65325091871847,306.08822005034295
1956,321.19042240246836,305.55871217521553
1957,322.6933192687431,305.9516703489977
1958,322.6380869256754,306.05286128136237
1959,323.91946110349426,306.5200343719699
1960,323.3290305923713,305.6680807812452
1961,323.1754965449669,306.392619429653
1962,320.2050860321952,303.94945764503154
1963,320.8921731436866,304.27963965545626
1964,320.7960828905859,304.6011782184604
1965,321.6466555800441,305.8922544031326
1966,322.16583421109647,306.85260386826906
1967,321.1026116070443,305.9849783354446
1968,315.1253825428576,299.7013079477378
1969,316.41503617835315,301.2221489983066
1970,315.5252506828303,301.06069773960496
1971,319.39537125276985,304.09713653257234
1972,327.47477349929864,310.79564022951666
1973,329.9083137711291,312.79070555545826
1974,331.147724313297,312.4651249773558
1975,331.46862746279004,312.46047989579046
1976,330.50980153843267,311.108498536746
1977,330.5865550776761,310.9525686389502
1978,328.58659409271013,308.90373828291433
1979,324.2481043323137,305.1066235558081
1980,325.51844822286955,305.97852057327856
1981,326.8086682056328,307.35699440676456
1982,326.8158419376914,306.1955833445691
1983,328.5611893724124,307.18754640102395
1984,329.7006261373577,309.80757386358147
1985,330.69648038546114,312.6161882160473
1986,332.5887275138782,313.5336614482627
1987,331.32447859868046,312.67768788074017
1988,333.1824752018554,313.43347505633545
1989,333.9982579877212,315.0222013193093
1990,334.1490412055392,314.8364042566251
1991,336.1711167028663,316.4718739551419
1992,335.5425521423792,315.89673994783914
1993,336.3798830933383,316.6360252841616
1994,334.31309313077384,316.24316397089405
1995,333.32222813241043,316.67465562417107
1996,336.0440661324602,318.5060360714449
1997,334.22471598808215,316.9354283989981
1998,334.21587018313767,316.2944671620197
1999,335.4856746953433,318.09541306091427
2000,334.1893597372219,317.11567367011156
2001,324.3331642981513,305.40852856164565
2002,324.05257968034084,305.10726550095495
2003,327.5747472765212,307.2099862907941
2004,329.961874041311,307.15822002984316
2005,333.60556357980715,309.8165655862321
2006,333.4702335517244,310.3546009355012
2007,329.7834746519591,306.79602139355495
2008,326.2541333237201,304.02269294579224
2009,324.85619948440797,303.4351786953602
2010,324.1337561220564,302.0004983133698
2011,328.21655357550736,304.66857442060814
2012,330.0342316469996,306.3990971139801
2013,326.36956029067795,303.59264830069776
2014,326.8788143600853,303.6048425911617
2015,321.8410745063989,299.40586027519697
2016,322.34811712457025,298.784070621934
2017,322.71761826342265,299.42000027079024
2018,328.62747897166065,304.1667538954263
2019,327.93319115919314,303.53028068371447
2020,331.209591010073,305.5604542759672
2021,334.11371192359655,307.6907815182146
2022,336.164482349158,308.5189397839399
2023,337.95068769391196,308.97161361974395
2024,336.985793763114,308.47733696455856
2025,332.07229971241225,304.9106747200472
2026,335.13329881911176,307.85894207400895
2027,333.5652450481244,306.8537736712385
2028,335.3249399469626,307.08300560647075
2029,333.6326134040731,305.8967700469578
2030,331.0941370741976,302.1578038210203
2031,333.4862530887274,305.1735898969165
2032,334.78974177890734,306.85066661139786
2033,336.009815607218,307.4332555549019
2034,332.8295599472737,303.60115181592664
2035,335.06369204300944,304.85435746880137
2036,335.17747390599885,304.69621448192936
2037,334.26449514141444,303.9419200424393
2038,337.7496344138488,306.85981587177724
2039,337.7253354191692,306.88839275957065
2040,338.55106973559754,307.30412176758665
