ds,SPY_Close,SPY_Volume,month,day,Actual_GDP,Actual_nonfarm,Actual_CPI,Actual_PPI,Actual_unemployment rate,Actual_core_PCE,Actual_FOMC,CPI_vs_forecast,CPI_vs_previous,GDP_vs_forecast,GDP_vs_previous,PPI_vs_forecast,PPI_vs_previous,nonfarm_vs_forecast,nonfarm_vs_previous,unemployment rate_vs_forecast,unemployment rate_vs_previous,core_PCE_vs_forecast,core_PCE_vs_previous,FOMC_vs_forecast,FOMC_vs_previous,is_event,days_since_fomc,isr_holiday
2024-04-25,5048.419921875,3958050000,4,25,0.016,none event,none event,none event,none event,none event,none event,,,-1.0,-1.0,,,,,,,,,,,1,25.0,1
2024-04-26,5099.9599609375,3604140000,4,26,none event,none event,none event,none event,none event,0.028,none event,,,,,,,,,,,1.0,0.0,,,1,26.0,1
2024-04-29,5116.169921875,3447450000,4,29,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,27.0,1
2024-04-30,5035.68994140625,4082470000,4,30,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,28.0,0
2024-05-01,5018.39013671875,4544170000,5,1,none event,none event,none event,none event,none event,none event,0.055,,,,,,,,,,,,,0.0,0.0,1,0.0,0
2024-05-02,5064.2001953125,4381660000,5,2,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,1.0,0
2024-05-03,5127.7900390625,3924990000,5,3,none event,175K,none event,none event,0.039,none event,none event,,,,,,,-1.0,-1.0,1.0,1.0,,,,,1,2.0,0
2024-05-06,5180.740234375,3683250000,5,6,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,3.0,1
2024-05-07,5187.7001953125,3987890000,5,7,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,4.0,0
2024-05-08,5187.669921875,3842100000,5,8,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,5.0,0
