ds,SPY_Close,SPY_Volume,month,day,Actual_GDP,Actual_nonfarm,Actual_CPI,Actual_PPI,Actual_unemployment rate,Actual_core_PCE,Actual_FOMC,CPI_vs_forecast,CPI_vs_previous,GDP_vs_forecast,GDP_vs_previous,PPI_vs_forecast,PPI_vs_previous,nonfarm_vs_forecast,nonfarm_vs_previous,unemployment rate_vs_forecast,unemployment rate_vs_previous,core_PCE_vs_forecast,core_PCE_vs_previous,FOMC_vs_forecast,FOMC_vs_previous,is_event,days_since_fomc,isr_holiday
2018-12-03,2790.3701171875,4221580000,12,3,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,16.0,1
2018-12-04,2700.06005859375,4515710000,12,4,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,17.0,1
2018-12-06,2695.949951171875,5180430000,12,6,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,18.0,1
2018-12-07,2633.080078125,4242240000,12,7,none event,155K,none event,none event,0.037,none event,none event,,,,,,,-1.0,-1.0,0.0,0.0,,,,,1,19.0,1
2018-12-10,2637.719970703125,4162880000,12,10,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,20.0,1
2018-12-11,2636.780029296875,3963440000,12,11,none event,none event,none event,0.025,none event,none event,none event,,,,,0.0,-1.0,,,,,,,,,1,21.0,0
2018-12-12,2651.070068359375,4029300000,12,12,none event,none event,0.022,none event,none event,none event,none event,0.0,-1.0,,,,,,,,,,,,,1,22.0,0
2018-12-13,2650.5400390625,3978340000,12,13,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,23.0,0
2018-12-14,2599.949951171875,4064370000,12,14,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,24.0,0
2018-12-17,2545.93994140625,4661420000,12,17,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,25.0,0
2018-12-18,2546.159912109375,4519190000,12,18,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,26.0,1
2018-12-19,2506.9599609375,5152830000,12,19,none event,none event,none event,none event,none event,none event,0.025,,,,,,,,,,,,,0.0,1.0,1,0.0,0
2018-12-20,2467.419921875,5619780000,12,20,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,1.0,0
2018-12-21,2416.6201171875,7657890000,12,21,0.034,none event,none event,none event,none event,0.019,none event,,,-1.0,-1.0,,,,,,,0.0,1.0,,,1,2.0,0
2018-12-24,2351.10009765625,2613670000,12,24,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,3.0,0
2018-12-26,2467.699951171875,4249740000,12,26,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,4.0,0
2018-12-27,2488.830078125,4139010000,12,27,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,5.0,0
2018-12-28,2485.739990234375,3728440000,12,28,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,6.0,0
2018-12-31,2506.85009765625,3461920000,12,31,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,7.0,0
2019-01-02,2510.030029296875,3733160000,1,2,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,8.0,0
2019-01-03,2447.889892578125,3858830000,1,3,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,9.0,0
2019-01-04,2531.93994140625,4234140000,1,4,none event,312K,none event,none event,0.039,none event,none event,,,,,,,1.0,1.0,1.0,1.0,,,,,1,10.0,0
2019-01-07,2549.68994140625,4133120000,1,7,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,11.0,0
2019-01-08,2574.409912109375,4120060000,1,8,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,12.0,0
2019-01-09,2584.9599609375,4088740000,1,9,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,13.0,0
2019-01-10,2596.639892578125,3721300000,1,10,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,14.0,0
2019-01-11,2596.260009765625,3447460000,1,11,none event,none event,0.019,none event,none event,none event,none event,0.0,-1.0,,,,,,,,,,,,,1,15.0,0
2019-01-14,2582.610107421875,3689370000,1,14,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,16.0,0
2019-01-15,2610.300048828125,3601180000,1,15,none event,none event,none event,0.025,none event,none event,none event,,,,,0.0,0.0,,,,,,,,,1,17.0,0
2019-01-16,2616.10009765625,3882180000,1,16,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,18.0,0
2019-01-17,2635.9599609375,3802410000,1,17,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,19.0,0
2019-01-18,2670.7099609375,4009010000,1,18,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,20.0,0
2019-01-22,2632.89990234375,3923950000,1,22,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,21.0,0
2019-01-23,2638.699951171875,3358770000,1,23,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,22.0,0
2019-01-24,2642.330078125,3449230000,1,24,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,23.0,0
2019-01-25,2664.760009765625,3821000000,1,25,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,24.0,0
2019-01-28,2643.85009765625,3630820000,1,28,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,25.0,0
2019-01-29,2640.0,3518070000,1,29,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,26.0,0
2019-01-30,2681.050048828125,3883270000,1,30,none event,none event,none event,none event,none event,none event,0.025,,,,,,,,,,,,,0.0,0.0,1,0.0,0
2019-01-31,2704.10009765625,4953800000,1,31,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,1.0,0
2019-02-01,2706.530029296875,3782490000,2,1,none event,304K,none event,none event,0.04,none event,none event,,,,,,,1.0,1.0,1.0,1.0,,,,,1,2.0,0
2019-02-04,2724.8701171875,3369450000,2,4,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,3.0,0
2019-02-05,2737.699951171875,3597620000,2,5,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,4.0,0
2019-02-06,2731.610107421875,3486590000,2,6,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,5.0,0
2019-02-07,2706.050048828125,4114040000,2,7,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,6.0,0
2019-02-08,2707.8798828125,3649510000,2,8,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,7.0,0
2019-02-11,2709.800048828125,3395330000,2,11,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,8.0,0
2019-02-12,2744.72998046875,3843020000,2,12,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,9.0,0
2019-02-13,2753.030029296875,3684910000,2,13,none event,none event,0.016,none event,none event,none event,none event,1.0,-1.0,,,,,,,,,,,,,1,10.0,0
2019-02-14,2745.72998046875,3845390000,2,14,none event,none event,none event,0.02,none event,none event,none event,,,,,-1.0,-1.0,,,,,,,,,1,11.0,0
2019-02-15,2775.60009765625,3648680000,2,15,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,12.0,0
2019-02-19,2779.760009765625,3535270000,2,19,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,13.0,0
2019-02-20,2784.699951171875,3904830000,2,20,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,14.0,0
2019-02-21,2774.8798828125,3598260000,2,21,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,15.0,0
2019-02-22,2792.669921875,3429350000,2,22,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,16.0,0
2019-02-25,2796.110107421875,3860260000,2,25,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,17.0,0
2019-02-26,2793.89990234375,3676200000,2,26,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,18.0,0
2019-02-27,2792.3798828125,3771790000,2,27,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,19.0,0
2019-02-28,2784.489990234375,4445780000,2,28,0.026,none event,none event,none event,none event,none event,none event,,,0.0,-1.0,,,,,,,,,,,1,20.0,0
2019-03-01,2803.68994140625,3994950000,3,1,none event,none event,none event,none event,none event,0.019,none event,,,,,,,,,,,0.0,0.0,,,1,21.0,0
2019-03-04,2792.81005859375,3949730000,3,4,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,22.0,0
2019-03-05,2789.64990234375,3631380000,3,5,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,23.0,0
2019-03-06,2771.449951171875,3800180000,3,6,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,24.0,0
2019-03-07,2748.929931640625,3932150000,3,7,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,25.0,0
2019-03-08,2743.070068359375,3424300000,3,8,none event,20K,none event,none event,0.038,none event,none event,,,,,,,-1.0,-1.0,-1.0,-1.0,,,,,1,26.0,0
2019-03-11,2783.300048828125,3764850000,3,11,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,27.0,0
2019-03-12,2791.52001953125,3432340000,3,12,none event,none event,0.015,none event,none event,none event,none event,-1.0,-1.0,,,,,,,,,,,,,1,28.0,0
2019-03-13,2810.919921875,3782250000,3,13,none event,none event,none event,0.019,none event,none event,none event,,,,,0.0,-1.0,,,,,,,,,1,29.0,0
2019-03-14,2808.47998046875,3505670000,3,14,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,30.0,0
2019-03-15,2822.47998046875,5969780000,3,15,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,31.0,0
2019-03-18,2832.93994140625,3620770000,3,18,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,32.0,0
2019-03-19,2832.570068359375,3650740000,3,19,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,33.0,0
2019-03-20,2824.22998046875,3779160000,3,20,none event,none event,none event,none event,none event,none event,0.025,,,,,,,,,,,,,0.0,0.0,1,0.0,1
2019-03-21,2854.8798828125,3612620000,3,21,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,1.0,0
2019-03-22,2800.7099609375,4253730000,3,22,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,2.0,1
2019-03-25,2798.360107421875,3406110000,3,25,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,3.0,0
2019-03-26,2818.4599609375,3288570000,3,26,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,4.0,0
2019-03-27,2805.3701171875,3422400000,3,27,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,5.0,0
2019-03-28,2815.43994140625,3185460000,3,28,0.022,none event,none event,none event,none event,none event,none event,,,-1.0,-1.0,,,,,,,,,,,1,6.0,0
2019-03-29,2834.39990234375,3752520000,3,29,none event,none event,none event,none event,none event,0.018,none event,,,,,,,,,,,-1.0,-1.0,,,1,7.0,0
2019-04-01,2867.18994140625,3560090000,4,1,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,8.0,0
2019-04-02,2867.239990234375,3267210000,4,2,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,9.0,0
2019-04-03,2873.39990234375,3570000000,4,3,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,10.0,0
2019-04-04,2879.389892578125,3038740000,4,4,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,11.0,0
2019-04-05,2892.739990234375,3155970000,4,5,none event,196K,none event,none event,0.038,none event,none event,,,,,,,1.0,1.0,0.0,0.0,,,,,1,12.0,0
2019-04-08,2895.77001953125,3056460000,4,8,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,13.0,0
2019-04-09,2878.199951171875,3032480000,4,9,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,14.0,1
2019-04-10,2888.2099609375,3092230000,4,10,none event,none event,0.019,none event,none event,none event,none event,1.0,1.0,,,,,,,,,,,,,1,15.0,0
2019-04-11,2888.320068359375,2970650000,4,11,none event,none event,none event,0.022,none event,none event,none event,,,,,1.0,1.0,,,,,,,,,1,16.0,0
2019-04-12,2907.409912109375,3726050000,4,12,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,17.0,0
2019-04-15,2905.580078125,3114530000,4,15,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,18.0,0
2019-04-16,2907.06005859375,3403120000,4,16,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,19.0,0
2019-04-17,2900.449951171875,3648100000,4,17,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,20.0,0
2019-04-18,2905.030029296875,3507100000,4,18,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,21.0,0
2019-04-22,2907.969970703125,3010130000,4,22,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,22.0,1
2019-04-23,2933.679931640625,3674480000,4,23,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,23.0,1
2019-04-24,2927.25,3468480000,4,24,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,24.0,1
2019-04-25,2926.169921875,3440010000,4,25,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,25.0,1
2019-04-26,2939.8798828125,3264390000,4,26,0.032,none event,none event,none event,none event,none event,none event,,,1.0,1.0,,,,,,,,,,,1,26.0,1
2019-04-29,2943.030029296875,3150390000,4,29,none event,none event,none event,none event,none event,0.016,none event,,,,,,,,,,,-1.0,-1.0,,,1,27.0,0
2019-04-29,2943.030029296875,3150390000,4,29,none event,none event,none event,none event,none event,0.016,none event,,,,,,,,,,,-1.0,-1.0,,,1,28.0,0
2019-04-30,2945.830078125,3939760000,4,30,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,29.0,0
2019-05-01,2923.72998046875,3669330000,5,1,none event,none event,none event,none event,none event,none event,0.025,,,,,,,,,,,,,0.0,0.0,1,0.0,0
2019-05-02,2917.52001953125,3802290000,5,2,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,1.0,1
2019-05-03,2945.639892578125,3357180000,5,3,none event,263K,none event,none event,0.036,none event,none event,,,,,,,1.0,1.0,-1.0,-1.0,,,,,1,2.0,0
2019-05-06,2932.469970703125,3203260000,5,6,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,3.0,0
2019-05-07,2884.050048828125,3793060000,5,7,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,4.0,0
2019-05-08,2879.419921875,3543110000,5,8,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,5.0,1
2019-05-09,2870.719970703125,3659050000,5,9,none event,none event,none event,0.022,none event,none event,none event,,,,,-1.0,0.0,,,,,,,,,1,6.0,1
2019-05-10,2881.39990234375,3566780000,5,10,none event,none event,0.02,none event,none event,none event,none event,-1.0,1.0,,,,,,,,,,,,,1,7.0,0
2019-05-13,2811.8701171875,3900270000,5,13,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,8.0,0
2019-05-14,2834.409912109375,3354860000,5,14,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,9.0,0
2019-05-15,2850.9599609375,3140900000,5,15,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,10.0,0
2019-05-16,2876.320068359375,3338470000,5,16,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,11.0,0
2019-05-17,2859.530029296875,3316040000,5,17,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,12.0,0
2019-05-20,2840.22998046875,3293750000,5,20,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,13.0,0
2019-05-21,2864.360107421875,3223050000,5,21,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,14.0,0
2019-05-22,2856.27001953125,3194000000,5,22,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,15.0,0
2019-05-23,2822.239990234375,3899320000,5,23,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,16.0,1
2019-05-24,2826.06005859375,2889230000,5,24,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,17.0,0
2019-05-28,2802.389892578125,4146980000,5,28,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,18.0,0
2019-05-29,2783.02001953125,3701110000,5,29,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,19.0,0
2019-05-30,2788.860107421875,3276030000,5,30,0.031,none event,none event,none event,none event,none event,none event,,,0.0,1.0,,,,,,,,,,,1,20.0,0
2019-05-31,2752.06005859375,3982670000,5,31,none event,none event,none event,none event,none event,0.016,none event,,,,,,,,,,,0.0,1.0,,,1,21.0,0
2019-06-03,2744.449951171875,3952360000,6,3,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,22.0,0
2019-06-04,2803.27001953125,3814130000,6,4,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,23.0,0
2019-06-05,2826.14990234375,3570760000,6,5,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,24.0,0
2019-06-06,2843.489990234375,3445140000,6,6,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,25.0,0
2019-06-07,2873.340087890625,3244380000,6,7,none event,75K,none event,none event,0.036,none event,none event,,,,,,,-1.0,-1.0,0.0,0.0,,,,,1,26.0,0
2019-06-10,2886.72998046875,3209890000,6,10,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,27.0,0
2019-06-11,2885.719970703125,3551000000,6,11,none event,none event,none event,0.018,none event,none event,none event,,,,,-1.0,-1.0,,,,,,,,,1,28.0,0
2019-06-12,2879.840087890625,3039870000,6,12,none event,none event,0.018,none event,none event,none event,none event,-1.0,-1.0,,,,,,,,,,,,,1,29.0,0
2019-06-13,2891.639892578125,3100640000,6,13,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,30.0,0
2019-06-14,2886.97998046875,2992810000,6,14,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,31.0,0
2019-06-17,2889.669921875,2828400000,6,17,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,32.0,0
2019-06-18,2917.75,3441540000,6,18,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,33.0,0
2019-06-19,2926.4599609375,3300220000,6,19,none event,none event,none event,none event,none event,none event,0.025,,,,,,,,,,,,,0.0,0.0,1,0.0,0
2019-06-20,2954.179931640625,3943060000,6,20,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,1.0,0
2019-06-21,2950.4599609375,5003540000,6,21,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,2.0,0
2019-06-24,2945.35009765625,3136960000,6,24,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,3.0,0
2019-06-25,2917.3798828125,3579430000,6,25,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,4.0,0
2019-06-26,2913.780029296875,3511350000,6,26,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,5.0,0
2019-06-27,2924.919921875,3162500000,6,27,0.031,none event,none event,none event,none event,none event,none event,,,0.0,0.0,,,,,,,,,,,1,6.0,0
2019-06-28,2941.760009765625,5422650000,6,28,none event,none event,none event,none event,none event,0.016,none event,,,,,,,,,,,0.0,0.0,,,1,7.0,0
2019-07-01,2964.330078125,3524860000,7,1,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,8.0,0
2019-07-02,2973.010009765625,3224490000,7,2,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,9.0,0
2019-07-03,2995.820068359375,1963570000,7,3,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,10.0,0
2019-07-05,2990.409912109375,2434680000,7,5,none event,224K,none event,none event,0.037,none event,none event,,,,,,,1.0,1.0,1.0,1.0,,,,,1,11.0,0
2019-07-08,2975.949951171875,2922360000,7,8,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,12.0,0
2019-07-09,2979.6298828125,3033330000,7,9,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,13.0,0
2019-07-10,2993.070068359375,3157800000,7,10,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,14.0,0
2019-07-11,2999.909912109375,3155710000,7,11,none event,none event,0.016,none event,none event,none event,none event,0.0,-1.0,,,,,,,,,,,,,1,15.0,0
2019-07-12,3013.77001953125,2984140000,7,12,none event,none event,none event,0.017,none event,none event,none event,,,,,1.0,-1.0,,,,,,,,,1,16.0,0
2019-07-15,3014.300048828125,2876100000,7,15,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,17.0,0
2019-07-16,3004.0400390625,3297030000,7,16,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,18.0,0
2019-07-17,2984.419921875,3185650000,7,17,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,19.0,0
2019-07-18,2995.110107421875,3369820000,7,18,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,20.0,1
2019-07-19,2976.610107421875,3285890000,7,19,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,21.0,0
2019-07-22,2985.030029296875,3016200000,7,22,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,22.0,0
2019-07-23,3005.469970703125,3333810000,7,23,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,23.0,0
2019-07-24,3019.56005859375,3433220000,7,24,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,24.0,0
2019-07-25,3003.669921875,3657050000,7,25,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,25.0,0
2019-07-26,3025.860107421875,3260170000,7,26,0.021,none event,none event,none event,none event,none event,none event,,,1.0,-1.0,,,,,,,,,,,1,26.0,0
2019-07-29,3020.969970703125,3224490000,7,29,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,27.0,0
2019-07-30,3013.179931640625,3632770000,7,30,none event,none event,none event,none event,none event,0.016,none event,,,,,,,,,,,-1.0,1.0,,,1,28.0,0
2019-07-31,2980.3798828125,4626330000,7,31,none event,none event,none event,none event,none event,none event,0.0225,,,,,,,,,,,,,0.0,-1.0,1,0.0,0
2019-08-01,2953.56005859375,4793810000,8,1,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,1.0,0
2019-08-02,2932.050048828125,3882810000,8,2,none event,164K,none event,none event,0.037,none event,none event,,,,,,,0.0,-1.0,0.0,0.0,,,,,1,2.0,0
2019-08-05,2844.739990234375,4542850000,8,5,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,3.0,0
2019-08-06,2881.77001953125,4156640000,8,6,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,4.0,0
2019-08-07,2883.97998046875,4512720000,8,7,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,5.0,0
2019-08-08,2938.090087890625,4118530000,8,8,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,6.0,1
2019-08-09,2918.64990234375,3356850000,8,9,none event,none event,none event,0.017,none event,none event,none event,,,,,0.0,0.0,,,,,,,,,1,7.0,0
2019-08-12,2882.699951171875,3328570000,8,12,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,8.0,0
2019-08-13,2926.320068359375,3857190000,8,13,none event,none event,0.018,none event,none event,none event,none event,1.0,1.0,,,,,,,,,,,,,1,9.0,0
2019-08-14,2840.60009765625,4325150000,8,14,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,10.0,0
2019-08-15,2847.60009765625,4041720000,8,15,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,11.0,0
2019-08-16,2888.679931640625,3524080000,8,16,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,12.0,0
2019-08-19,2923.64990234375,3221050000,8,19,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,13.0,0
2019-08-20,2900.510009765625,3067710000,8,20,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,14.0,0
2019-08-21,2924.429931640625,3016540000,8,21,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,15.0,0
2019-08-22,2922.949951171875,2893660000,8,22,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,16.0,0
2019-08-23,2847.110107421875,3942520000,8,23,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,17.0,0
2019-08-26,2878.3798828125,2859790000,8,26,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,18.0,0
2019-08-27,2869.159912109375,3537490000,8,27,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,19.0,0
2019-08-28,2887.93994140625,3102480000,8,28,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,20.0,0
2019-08-29,2924.580078125,3177150000,8,29,0.02,none event,none event,none event,none event,none event,none event,,,0.0,-1.0,,,,,,,,,,,1,21.0,0
2019-08-30,2926.4599609375,3009910000,8,30,none event,none event,none event,none event,none event,0.016,none event,,,,,,,,,,,0.0,0.0,,,1,22.0,0
2019-09-03,2906.27001953125,3427830000,9,3,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,23.0,0
2019-09-04,2937.780029296875,3167900000,9,4,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,24.0,0
2019-09-05,2976.0,3902600000,9,5,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,25.0,0
2019-09-06,2978.7099609375,3209340000,9,6,none event,130K,none event,none event,0.037,none event,none event,,,,,,,-1.0,-1.0,0.0,0.0,,,,,1,26.0,0
2019-09-09,2978.429931640625,4031120000,9,9,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,27.0,0
2019-09-10,2979.389892578125,4393040000,9,10,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,28.0,0
2019-09-11,3000.929931640625,3934370000,9,11,none event,none event,none event,0.018,none event,none event,none event,,,,,1.0,1.0,,,,,,,,,1,29.0,0
2019-09-12,3009.570068359375,3796990000,9,12,none event,none event,0.017,none event,none event,none event,none event,-1.0,-1.0,,,,,,,,,,,,,1,30.0,0
2019-09-13,3007.389892578125,3557010000,9,13,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,31.0,0
2019-09-16,2997.9599609375,4285860000,9,16,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,32.0,0
