,Actual,Predicted_LSTM,Predicted_GRU
103,325.8326567919405,282.1953,275.75696
104,325.839809099707,282.592,275.86932
105,327.57994406859444,284.54794,277.50323
106,328.71597791496396,285.19058,278.33673
107,329.7088580525034,286.78574,279.44424
108,331.5954540003535,288.39648,281.27066
109,330.3349807541971,286.81702,279.5396
110,332.18742846571854,287.65292,280.2136
111,333.00077492296896,288.6007,280.99576
112,333.1511078279406,289.1502,281.37155
113,335.16714441333926,290.851,283.0143
114,334.54045705576925,289.75403,281.7154
115,335.3752873246942,289.62006,281.41965
116,333.3146698134428,288.18903,279.63077
117,332.32676402528983,286.99777,277.98788
118,335.0404732784222,288.37964,279.1282
119,333.22655660836466,286.58545,277.27414
120,333.2177372213443,285.1313,275.76843
121,334.4837494727635,285.9194,276.51852
122,333.19130594865834,284.71753,275.02487
123,323.3645459566245,274.18604,265.4983
124,323.08479930247944,272.1702,263.7431
125,326.5964479739516,275.6275,267.50766
126,328.9764456041895,276.97888,268.73993
127,332.6092532936912,279.9649,271.90857
128,332.4743274276301,278.41354,269.9836
129,328.79857900315443,274.65836,265.80914
130,325.27977802391564,271.1443,262.0833
131,323.8860191025769,269.36798,259.9926
132,323.165733311416,267.60236,257.97275
133,327.2363375236771,270.24335,261.05255
134,329.0485871144809,271.68143,262.84686
135,325.394860269181,268.3434,259.69873
136,325.90259345547673,269.41214,260.73914
137,320.8798987706452,265.98865,257.06342
138,321.3854271101859,266.96906,257.74493
139,321.7538247369103,268.3482,259.76843
140,327.64603569449673,272.3016,263.86765
141,326.9538213669006,270.9779,263.0064
142,330.22043627643285,272.80124,264.74338
143,333.1158840566093,274.76044,266.7914
144,335.1605298730739,275.89996,267.72452
145,336.9414007301803,277.64526,269.4455
146,335.9793884472121,276.36115,268.1858
147,331.08056850629123,274.06418,265.6092
148,334.1324259642033,277.1426,268.25967
149,332.56905517297344,276.29117,267.61172
150,334.3234947573939,277.95346,269.13953
151,332.6362223338783,275.96942,267.70886
152,330.1053271427925,274.18637,265.72662
153,332.49029912241684,276.01443,267.42957
154,333.78989495428857,277.38318,268.78275
155,335.00632504209347,278.70572,270.04553
156,331.83556718965724,275.96933,267.5511
157,334.06302706816837,277.72495,269.00812
158,334.1764691225549,278.8747,270.22235
159,333.26621696158105,278.2065,269.37668
160,336.7409478940932,280.32974,271.80792
161,336.7167214681624,279.55414,271.02487
162,337.53998973581076,280.38275,271.57144
163,338.3423119592858,281.71573,272.88174
164,336.8758737601545,281.02188,271.786
165,331.12738116727445,277.01428,267.6592
166,329.48197394373034,275.91254,266.38104
167,327.94008696417507,274.50037,264.88226
168,327.9846947784029,275.5442,266.02512
169,322.7813639899049,271.2742,262.5632
170,327.89878642007983,273.4497,265.4743
171,322.12883690390026,267.105,259.7389
172,318.1876464408125,262.34546,255.78223
173,321.738390809625,265.06842,259.6626
174,316.0053321440305,260.6623,255.36975
175,317.7498768064281,260.60938,256.4783
176,309.1791803670405,254.21892,250.81361
177,306.83935396914524,251.734,249.09116
178,308.3388379812278,253.47592,252.15753
179,304.05570805247663,250.4054,249.56996
180,310.5217169338862,253.51074,254.1936
181,312.5140648608552,255.41673,256.9585
182,309.1846924839282,253.11006,254.20518
183,312.52342201537675,255.60469,257.70926
184,311.8405917306772,255.86826,257.8519
185,312.0977521497702,258.02646,260.0487
186,317.60502912996907,262.33774,265.2187
187,318.105045352622,264.87848,267.77127
188,314.55596806306346,262.75836,265.9318
189,313.5157374970398,262.90417,266.3779
190,307.3278081905215,259.46497,262.36264
191,309.02994988544634,262.49515,265.7294
192,310.1984648888908,265.15393,269.45267
193,312.2855405612032,268.45346,273.06595
194,297.17228403660454,257.09628,261.03616
195,279.4163573457874,242.85944,246.60672
196,278.7649057947852,241.24323,244.90764
197,274.38815054406814,237.32556,242.21198
198,300.49724672002134,254.36949,259.25925
199,290.0977643391669,248.49118,248.79349
200,295.346240709394,253.27533,253.65979
201,297.6926816475545,252.43733,257.3236
202,297.17833392099345,248.04507,253.27017
203,290.5190513996383,242.23781,249.57573
